comedians,bios
eddie brill,"[['successful', 'different', '3-time', 'numerous', 'corporate', 'creative', 'successful', 'Great', 'American', 'young', 'old', 'next', 'many', 'different'], [], ['biggest'], ['Eddie', 'Brill', '’', 'MAC', 'Award', 'Winner', 'Best', 'Male', 'Stand-Up', 'Comic', 'NYC', 'ESPN', 'Hyatt', 'Hotels', 'Talent', 'Coordinator', 'Late', 'Show', 'David', 'Letterman', 'Comedy', 'Festival', 'Johnny', 'Carson', 'A', 'Brill', 'Reader', '’', 'Digest', '’'], [], ['internationally', 'names', 'also', 'also', 'wildly', 'currently', 'also'], [], []]"
elliot woolsey,"[['regular', 'prestigious', '’', 's', 'relatable', 'Great', 'American'], ['larger'], ['greatest'], ['Rowdy', 'Witty', 'Elliot', 'Comedy', 'Works', 'Comedy', 'Works', '’', 'New', 'Faces', 'Contest', 'Elliot', '’', 'Dave', 'Chappelle', 'Whitney', 'Cummings', 'Norm', 'Macdonald', 'Elliot', 'Comedy', 'Festival', 'High', 'Plains', 'Comedy', 'Festival', 'Telluride', '’', 'Blues', 'Brews', 'Fest', 'Denver', 'Mormon', 'Elliot', 'Red', 'Rocks', 'Amphitheatre', 'Film', 'Rocks'], [], ['then', 'long'], [], []]"
emily heller,"[['third', '“', 'frequent'], [], [], ['Heller', 'Ground', 'Floor', 'TBS', 'Conan', 'John', 'Oliver', '’', 'New', 'York', 'Stand', 'Up', 'Show', 'Comedy', 'Central', 'New', 'Montreal', 'Just', 'Laughs', 'Festival', 'Above', 'Average', 'Future', 'Comedy', 'Central', '’', 'Rooftop', 'Comedy', '’', 'Silver', 'Nail', 'Award', 'Funniest', 'Town', '”', 'San', 'Francisco', 'Emily', 'Cougartown', 'Surviving', 'Jack', 'Chelsea', 'Lately'], ['Comics', 'People'], ['Emily', 'currently', 'Previously'], [], []]"
Eric Schwartz,"[['*VIP', 'comedian', 'musician', 'innovative', 'one-hour', 'special', 'popular', 'digital', 'stand-up', 'most-viewed', 'prestigious', 'online', 'multi-dimensional', 'educational', 'on-camera', 'second', 'one-hour'], ['more'], [], ['TICKETS', 'AVAILABLE', 'VIP', 'Eric', 'Schwartz', 'Showtime', 'Tonight', 'Show', 'Comics', 'Unleashed', 'BET', 'Surrender', 'Blender', 'Hulu', 'Eric', 'Myspace', 'YouTube', 'NextUp', 'Eric', '’', 'Grammy-winner', 'Jason', 'Mraz', 'Craig', 'Robinson', 'Anjelah', 'Johnson', 'Eric', 'Animal', 'Atlas', 'Spot', 'Eric'], ['Creators'], ['voiceover', 'nationally'], [], []]"
erik griffin,"[['recognizable', 'seventh', 'final', 'dark-comedy', 'first', 'hour-long', 'special', 'national', 'Last', 'Previous', 'recurring', 'big', 's', 'Technical', 'Comedy', 'Central', 'half-hour', 'stand-up'], [], ['Most'], ['Erik', 'Griffin', 'Montez', 'Walker', 'Comedy', 'Central', 'Workaholics', 'Griffin', 'Showtime', '’', 'Up', 'Ugly', 'Truth', 'Showtime', 'Erik', 'Comedy', 'Central', '’', 'Live', 'Gotham', 'NBC', '’', 'Comic', 'Driving', 'Showtime', '’', 'Borders', 'Unleashed', 'Starz', 'Blunt', 'Talk', 'Patrick', 'Stewart', 'Netflix', '’', 'Day', 'Time', 'FX', '’', 'Worst', 'Fox', '’', 'Bob', '’', 'Burgers', 'Arrested', 'Development', 'Nickelodeon', '’', 'Harvey', 'Breaks', 'Griffin', 'Mike', 'Dave', 'Need', 'Wedding', 'Dates', 'First', 'Girl', 'Furlough', 'Distinguished', 'Griffin', '’', 'Foul'], ['Comics'], ['recently', 'recently', 'm', 'Here', 'first', 'nationally', 'recently', 'nationally', 'nearly'], [], ['most']]"
ester steinberg,"[['stand-up', 'high', 'such', 'own', 'monthly', 'prestigious'], [], ['most'], ['Ester', 'Tampa', 'Florida', 'Owen', 'Benjamin', 'Bobby', 'Collins', 'Shawn', 'Pelofsky', 'Ester', 'Becoming', 'L.A.', 'Laugh', 'Factory', 'Comedy', 'Store', 'Kibitz', 'Room', 'Time', 'Out', 'New', 'York', 'Bridgetown', 'Comedy', 'Festival', 'Ester', 'Oxygen', 'Funny', 'Girls'], [], ['now', 'also', 'recently', 'currently'], [], []]"
esther povitsky,"[['available', 'acclaimed', 'centric'], [], [], ['Esther', 'Povitsky', 'Alone', 'Together', 'Hulu', 'Freeform', 'Maya', 'CW', '’', 'Crazy', 'Ex-Girlfriend', 'Variety', 'Esther', '“', 'Esther', 'Montreal', 'Comedy', 'Festival', 'New', 'Face', 'Brooklyn', 'Workaholics', 'Key', 'Peele', 'Lady', 'Dynamite', 'Parks', 'Recreation', 'Esther', 'Late', 'Late', 'Show', 'Comedy', 'Central', 'Cocktales', 'Little', 'Esther', 'Glowing', 'Up'], ['Comics'], ['also', 'critically', 'also', 'currently'], [], []]"
eugene kenny,"[['fellow', 'local', 'live', 'many', 'short-films'], [], [], ['Dirty', 'Eugene', 'Kenny', 'Comedy', 'Works', 'BET', 'ComicView', 'Dave', 'Chapelle', 'Larry', 'Cable', 'Guy', 'Joe', 'Rogan', 'Bobby', 'Collins', 'Doug', 'Benson', 'Eugene', 'Eug', 'Chuckles', 'Denver', 'Chuck', 'Roy', 'Eugene', 'Eugene', 'Chuck'], [], ['here'], [], []]"
fahim anwar,"[['stand-up', 'one-hour', 'special', 'listed', 'Promising', 'prestigious', 'recent', 'upcoming'], [], ['Most'], ['Fahim', 'Anwar', 'Boeing', 'Fahim', 'Business', 'Show', 'Business', 'New', 'York', 'Times', 'Anwar', 'Future', 'Star.', '”', 'Conan', 'Late', 'Night', 'Seth', 'Meyers', 'Just', 'Laughs', 'Festival', 'Montreal', 'Fahim', '’', 'Whiskey', 'Tango', 'Foxtrot', 'Neighbors', 'Drunk', 'History', 'Carmichael', 'Show', 'Superior', 'Donuts', 'Currently', 'Fahim', 'Comedy', 'Central', 'Goatface', 'Hasan', 'Minhaj', 'Daily', 'Show'], [], ['Formerly', 'never', 'back', 'sometime'], [], []]"
fathers day family show,"[['25-year', 'veterinary', 'nightly', 'true', 'unwavering', 'great', 'small', 'weekly', 'such', 'diverse', 'legendary', 'such', 'important', 'everyday', 'much', '720-274-6868', 'sure'], [], [], ['Celebrate', 'Father', 'Day', 'Kevin', 'Fitzgerald', 'CLEAN', 'FAMILY', 'SHOW', 'AGES', 'Rolling', 'Who', 'Kevin', 'Fitzgerald', 'Animal', 'Planet', 'Emergency', 'Vets', 'Kevin', '’', 'Kevin', 'Today', 'Show', 'CW2', '’', 'Animal', 'House', 'Kevin', 'Bob', 'Hope', 'Diana', 'Ross', 'Temptations', 'Neville', 'Lucy', 'Restaurant', '['], ['Stones', 'Brothers'], ['almost', 'Perhaps', 'only', 'also', 'incredibly', 'ever', 'too'], [], ['best']]"
felipe esparza,"[['comedian', 'raw', 'real-life', 'wild', 'often-imitated', 'good', 'stand-up', 'various', 'Last', 'first', 'special', 're', 'first', 'top', 'available', 'regular', '“'], [], ['best'], ['Felipe', 'Esparza', '’', 'Gabriel', 'Iglesias', 'Felipe', 'Felipe', 'NBC', '’', '“', 'Comic', 'Standing', 'Felipe', 'Gon', 'Laugh', 'Showtime', 'Felipe', '’', 'Fool', 'Podcast', 'All', 'Things', 'Comedy', 'Stitcher', 'Felipe', '’', 'TruTV', '’', '“', 'World', '’', 'Dumbest', '”', 'Arsenio', 'Hall', 'Show', '”', '“', 'Comics', 'Unleashed', '”', 'Comedy', 'Central', '’', '“', 'Premium', 'Blend', '”', '“', 'Russell', 'Simmons', 'Stand-Up', 'El', 'Rey', '”', 'Showtime', '’', 'Borders', '”', 'TBS', '’', '“', 'Lopez', 'Tonight', 'Galavision', '’', '“', 'Que', 'Locos'], [], ['everywhere', 'often', 'away', 'Not'], [], []]"
fortune feimster,"[['stand-up', '’', 's', 'stand-up', 'special', 'own', 'special', 'co-wrote', 'latter', 'many', 'hit'], [], ['guest', 'best', 'fastest'], ['Fortune', 'Feimster', 'Chelsea', 'Lately', '‘', 'Nurse', 'Collette', '’', 'Hulu', '’', 'Mindy', 'Project', 'Feimster', 'NBC', 'Champions', 'Netflix', '’', 'Standups', 'Feimster', 'TBS', '’', 'Conan', 'Comedy', 'Central', 'Amblin', 'Pictures', 'Office', 'Christmas', 'Party', 'Deported', 'Amblin', 'Pictures', 'Bad', 'Cop', 'Bad', 'Cop', 'Prior', 'Fortune', 'ABC', 'Tina', 'Fey', 'Feimster', 'CBS', '’', 'Life', 'Pieces', 'Dear', 'White', 'Idiotsitter', 'Workaholics', 'Drunk', 'History', '@', 'Fortune', '’'], ['People'], ['first', 'recently', 'also', 'also', 'recently', 'Previously', 'now'], [], []]"
frank caliendo,"[['Comedian', 'impressionist', 'whole', 'dead-on', 'famous', 'current', 's', 'live', 'high-energy', 'anecdotal', 'frenetic', 'Other', 'other'], ['more'], [], ['Frank', 'Caliendo', 'Al', 'Pacino', 'Bill', 'Clinton', 'John', 'Madden', 'Frank', 'Caliendo', 'Tonight', 'Show', 'Jay', 'Leno', 'Late', 'Show', 'David', 'Letterman', 'ESPN', 'Sunday', 'NFL', 'Countdown', 'FOX', 'NFL', 'SUNDAY', 'Terry', 'Bradshaw', '’', 'Frank', 'Hollywood', 'Reporter', '“', 'Robin', 'Williams', 'Jim', 'Carrey', '”', 'Frank', 'Frank', 'Late', 'Show', 'Craig', 'Ferguson', '”', '“', 'Jimmy', 'Kimmel', 'Live', '”', '“', 'Conan', 'O', '’', 'Brien', '”', '”', 'Comedy', 'Central', 'Presents', '“', 'Hot', 'Cleveland', '”', 'Comebacks', '”', '“', 'Mike', 'Mike', '”', '“', 'SportsCenter', '”', 'ESPN'], [], ['probably', 'maybe', 'long', 'really', 's', 'never', 'Once', 'not'], [], []]"
frankie quinones,"[['“', 'stand-up', 'comedian', 'fitness', 'suburban', 'viral', 'feel-good', 'guardian', 's', 'ready', 'key'], ['more'], ['best'], ['Frankie', 'Creeper', 'Cholofit', '“', 'Juanita', 'Carmelita', '”', 'Frankie', 'Quiñones', 'Creeper', 'Juanita', 'Carmelita', 'Frankie', '’', 'Creeper', '’', 'CHOLOFIT', 'Frankie', '’', 'Afradooshie', 'Pachanga', 'Frankie', 'Dress', 'Up', 'Gang', 'Cartoon', 'Network', '’', 'Victor', 'Valentino', 'Comedy', 'Central', 'HBO', 'TBS', 'Nickelodeon'], [], ['also', 'also', 'plenty', 'soon', 'Additionally'], [], []]"
friends musical parody,"[['hilarious', 'new', 'musical', 'favorite', '20-something', 'typical', 'unexpected', 'beautiful', 'whole', 'second', 'naughty', 'uncensored', 'fast-paced', 'music-filled', 'Hilarious', 'fun', 'nostalgic'], [], ['best'], ['Musical', 'Parody', '’', 'Friends', '—', 'Manhattan', 'New', 'York', '’', 'Central', 'Perk', '’', 'Musical', 'Parody', 'Will', 'Rachel', 'Ross', 'Will', 'Monica', 'Will', 'Joey', 'Smart', 'Trust', '—TheatreLife.com', 'Parental', 'Advisory'], [], ['lovingly', 'seemingly', 'only', 'delightfully', 'not', 'only', 'together', 'ever', 'really'], [], []]"
garfunkel oates,"[['unique', 'musical', 'Last', 'own', 'Last', 'NEW'], [], [], ['Garfunkel', 'Oates', 'Kate', 'Micucci', 'Raising', 'Hope', 'Bored', 'Death', 'Riki', 'Lindhome', 'Enlightened', 'Fun', 'Size', 'House', 'Left', 'Variety', 'HALF', 'HOUR', 'Special', 'Comedy', 'Central', 'Independent', 'Spirit', 'Awards', 'Tonight', 'Show', 'Jay', 'Leno', 'Attack', 'Show', 'Carson', 'Daily', 'CollegeHumor.com', 'FunnyorDie.com', 'Face', 'Slippery', 'Moist'], ['Comics'], ['very', 'just', 'just'], [], []]"
gary gulman,"[['single', 'late-night', 'next', 'giant', 'ex-Bostonian', 'huge', 'one-hour', 's', 'one-hour', 'special', 'new', 'special', 's', 'Last', '20-year', 's', 's'], [], ['best', 'strongest'], ['Gary', 'Gulman', 'Gary', 'CK', 'Burr', 'Gulman', 'Village', 'Voice', 'Gary', 'Showtime', 'Comedy', 'Central', 'Netflix', 'No', 'Can', 'Defend', 'Gary', 'Gary', 'Gulman', 'Economy', 'Netflix', 'Time', 'Netflix', 'Gary', 'NBC', '’', 'Comic', 'Standing', 'HBO', 'Tourgasm', 'Comedy', 'Central', '’', 'Inside', 'Amy', 'Schumer', 'Gary', 'Time', 'Tour', 'New', 'York', 'Times', '“', 'Gary', '’'], [], ['only', 'here', 'first', 'also', 'currently', 'now', 'finally'], [], []]"
george lopez,"[['new', 'multi-talented', 'stand-up', 'late-night', 'sitcom', 'stand-up', 'arenas', 'new', 'inspirational', 'second', 'third', 'solo', 'stand-up', 'animated', 'animated', 'other', 'recent', 'box-office', 'comedic', 'stand-up', 'raving', '“', 'Influential'], [], ['Most', 'Most'], ['Wall', 'Construction', 'Tour', '”', 'SPECIAL', 'EVENT', 'HBO', 'Special', 'George', 'Lopez', 'Lopez', 'TBS', 'Lopez', 'Tonight', 'George', 'Lopez', 'ABC', 'Lopez', 'Comedy', 'Get', 'Down', 'Charlie', 'Murphy', 'Eddie', 'Griffin', 'D.L', 'Hughley', 'Cedric', 'Entertainer', 'Lopez', 'Lopez', 'Land', 'George', 'Lionsgate', 'Spare', 'Parts', 'FX', 'Saint', 'George', 'Me', 'HBO', 'Lopez', 'Rafael', 'Rio', 'Rio', 'Thurman', 'Escape', 'Planet', 'Earth', 'Grouchy', 'Smurf', 'Smurfs', 'Beverly', 'Hills', 'Chihuahua', 'Valentine', 'Day', 'Swing', 'Vote', 'Henry', 'Poole', 'Balls', 'Fury', 'Lopez', 'Grammy', 'Best', 'Comedy', 'Album.', '”', 'George', '’', 'New', 'York', 'Times', 'Bestsellers', 'Top', 'Time', '“', 'America', '”', 'Harris', 'Poll', '“', 'Top', 'Ten', 'Favorite', 'Television', 'Personalities'], ['Hispanics'], ['late', 'currently', 'also', 'recently', 'as', 'well', 'Not', 'also', 'Here'], [], ['most']]"
gilbert gottfried,"[['stand-up', 'young', 'few', 'stand-up', 'multiple', 'notable', 'improvised', 'popular', 'early', 'stellar', 'classic', 'recognizable', 'many', '@', 'hilarious', 'first-ever', 'famed', 'comic', 'political', 'live', 'famous', 'national', 'secret'], ['More'], ['Most', 'Most'], ['Mature', 'Content', 'Gilbert', 'Gottfried', 'SNL', 'MTV', 'Cosby', 'Show', 'Late', 'Night', 'David', 'Letterman', 'Beverly', 'Hills', 'Cop', 'II', 'Gottfried', 'Problem', 'Child', 'Problem', 'Child', 'II', 'Look', 'Who', 'Talking', 'II', 'Adventures', 'Ford', 'Fairlane', 'IAGO', 'Disney', 'Aladdin', 'Gottfried', 'AFLAC', 'Duck', 'Fifty', 'Shades', 'Grey', 'YouTube', 'Gilbert', 'Midnight', 'Chris', 'Hardwick', 'Howard', 'Stern', 'Show', 'Law', 'Order', 'SVU', 'Rubber', 'Balls', 'Liquor', 'Gilbert', 'Gottfried', 'Gottfried', 'Stephen', 'King', 'Gottfried', 'Gilbert', 'Gottfried', 'World', 'War', 'II', 'Hitler'], [], ['only', 'later', 'soon', 'soon', 'almost', 'also', 'heard', 'recently', 'aside'], [], ['most']]"
girlsgotta eat,"[['hilarious', 'uncensored', 'top', 'life-changing', 'live', 'record-breaking', 'special', 'burning', 'one-of-a-kind', 'interactive', 'fresh', 'new', 'exclusive'], [], ['least'], ['LIVE', 'PODCAST', 'Instagram', 'THIS', 'WEIRD', 'Girls', 'Got', 'Eat', 'GGE', 'Ashley', 'Hesseltine', 'Rayna', 'Greenberg', 'Instagram', 'BrosBeingBasic', '@', 'OneHungryJew', 'GGE', 'U.S.', 'Ashley', 'Rayna', 'VIP', 'TICKETS', 'AVAILABLE', 'VIP', 'Rows', 'Downtown', '|', 'Rows', 'South', 'Lucy', 'Restaurant', 'Please'], [], ['just', 'once', 'then', 'ta'], [], []]"
gift,"[['.the', 'ultimate', 'extra', 'Holiday', 'perfect', 'easy', 'easy', '•', 'perfect', 'happy', 'good', 'same'], [], [], ['Comedy', 'Works', 'OPEN', 'Sunday', 'December', 'Monday', 'December', 'A', 'Comedy', 'Works', 'Gift', 'Certificate', '•', 'Comedy', 'Works', 'Comedy', 'Works', 'Lucy', 'Restaurant', 'Lila', 'B', 'Lounge', 'Gift', 'Comedy', 'Works', 'Downtown', 'Larimer', 'Square', 'South', 'Landmark', '|', 'Buy', 'Get', 'Get'], ['Hours', 'Certificates'], ['•'], [], []]"
greg behrendt,"[['brilliant', 'lifelong', 'short', 'half-hour', 'unscripted', 'stand-up', 'Starfish', 'only', 'instrumental'], [], [], ['Gregory', 'Behrendt', 'HBO', 'City', 'Sarah', 'Jessica', 'Parker', 'New', 'York', 'Times', 'Greg', 'Behrendt', 'Show', 'Greg', 'Behrendt', 'Wake', 'Up', 'Call', 'Actor', 'Greg', 'Behrendt', 'Behrendt', 'Will', 'Work', 'Laughs', 'Greg', 'CBS', 'IFC', 'Might', 'Be', 'Cake', 'John', 'Oliver', '’', 'New', 'York', 'Standup', 'Show', 'Comedy', 'Central', 'Consulting', 'Producer', 'NBC', '’', 'Love', 'Bites', 'Greg', 'Room', 'Circus', 'Dave', 'Anthony', 'Greg', 'Reigning', 'Monarchs', '”', 'America'], [], ['Just', 'Not', 'later', 'Apart', 'also', 'also', 'Additionally'], [], []]"
greg fitzsimmons,"[['incisive', 'own', 'popular', 'regular', 'one-hour', 'stand-up', 'Top', 'special', 'available', 'outstanding', 'half-hour', 'stand-up', 'Comedian', 'Cable'], ['more'], [], ['Greg', 'Fitzsimmons', 'Emmy', 'Award', 'Greg', 'FitzDog', 'Radio', 'Greg', 'Fitzsimmons', 'Show', 'SiriusXM', '’', 'Howard', 'Conan', 'O', '’', 'Brien', 'Jimmy', 'Kimmel', 'Greg', 'Howard', 'Stern', 'Show', 'Greg', '“', 'How', 'Grown', 'Up', '”', 'TRU', 'Greg', '’', 'Life', 'Stage', 'Comedy', 'Release', 'LA', 'Weekly', 'Comedy', 'Central', 'DVD', 'Greg', '’', 'Dear', 'Mrs.', 'Fitzsimmons', 'NPR', 'Vanity', 'Fair', 'Greg', 'Netflix', 'Santa', 'Clarita', 'Diet', 'Emmy-winning', 'FX', 'Louie', 'VH1', '’', 'Best', 'Week', 'Ever', 'Speed', 'Channel', '’', 'Pumped', 'Comedy', 'Central', 'Greg', 'Judd', 'Apatow', 'HBO', 'Crashing', 'HBO', '’', 'Lucky', 'Louie', 'Cedric', 'Entertainer', 'Politically', 'Incorrect', 'Bill', 'Maher', 'Man', 'Show', 'Daytime', 'Emmys', 'Ellen', 'DeGeneres', 'Show', 'Jury', 'Award', 'Best', 'HBO', 'Comedy', 'Arts', 'Festival', 'Ace', 'Award', 'MTV', 'Idiot', 'Savants'], ['Presents'], ['hugely', 'now', 'Recently', 'currently'], [], []]"
greg proops,"[['live', 'stand-up', 'bad', 'unpredictable', 'frequent', 'new', 'live', 'beloved', 'new', 'award-seeking', 'live', 'popular', 'available'], [], ['best'], ['Wednesday', '’', 'PROOPCAST', 'Greg', 'Proops', 'San', 'Francisco', 'Hollywood', 'Proopdog', 'Whose', 'Line', 'Anyway', 'CW', '@', 'Comedy', 'Central', 'Stand-up', 'Greg', 'Ball', 'Park', 'San', 'Francisco', 'Available', 'Professor', 'Proops', 'Podcast', 'Smartest', 'World', 'Smartest', 'Book', 'World', 'Australia', 'New', 'Zealand', 'Montreal', 'Edinburgh', 'Amsterdam', 'San', 'Francisco', 'Austin', 'London', 'Paris', 'Caribbean', 'Cleveland', 'Proopcast.com', 'Greg', 'Hell', 'Back', 'Star', 'Wars', 'Phantom', 'Menace', 'Nightmare', 'Before', 'Christmas', 'Bob', 'Builder', 'Greg', 'Proops', 'Film', 'Club', 'TCM', 'Film', 'Festival', 'Edinburgh', 'Cinefamily', 'Hollywood', 'Greg', 'Twitter', '@'], [], ['not', 'Really', 'somehow', 'really', 'Socially'], [], []]"
greg warren,"[['strong', 'diverse', 'such', 'prestigious', 'featured'], [], ['most'], ['Greg', 'Warren', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Midwestern', 'Greg', 'BET', 'Stage', 'Country', 'Music', 'Television', 'Comedy', 'Stage', 'Greg', 'Bob', 'Tom', 'Bob', 'Tom', 'Comedy', 'Tour', 'Greg', 'Just', 'Laughs', 'Festival', 'Montreal', 'Greg', 'New', 'Faces', 'Comedy', 'Comedy', 'Central', 'Premium', 'Blend'], [], ['recently', 'also', 'nationally', 'also'], [], []]"
gus johnson,"[['’', 'live', 'digital', 'YouTube', 'subscribed', 'popular', 'digital', 'old', 'live', 'stupid', 'stupid', 'front', 'signed'], ['more'], ['most'], ['VIP', 'TICKETS', 'AVAILABLE', 'Gus', 'Johnson', 'Johnson', 'YouTube', 'Instagram', 'YouTube', 'Gus', '’', 'Mitchell', 'Robbins', 'JK', 'Rowling', 'Working', 'Man', 'Pillow', 'Guy', 'Funny', 'Or', 'Die', 'Comedy', 'Central', '’', 'Gus', 'Gus', 'Lucy', 'Restaurant'], [], ['recently', 'currently', 'only', 'already', 'usually'], [], []]"
guy branum,"[['comedian', 'new', 'political', 'pop', 'roundtable', 'new', '”', 's', 'cultural', 'observational', 'personal', 's', 'strong', 'aggressive', 'much', 'powerful', '“', 'consistent', 'comic', 'personal'], [], ['best', 'best'], ['Guy', 'Branum', 'Chelsea', 'Lately', '@', 'Midnight', 'Nightly', 'Show', 'Larry', 'Wilmore', 'Meltdown', 'Jonah', 'Kumail', 'Talk', 'Show', 'Game', 'Show', 'Guy', 'Billy', 'Street', 'Mindy', 'Project', 'Awkward', 'Slate.com', 'New', 'York', 'Times', 'Pop', 'Rocket', 'Guy', '’', 'Effable', 'Billboard', 'New', 'York', 'Times', 'Guy', '’', 'Paul', 'F.', 'Tompkins', 'AV', 'Club', 'Branum'], [], ['also', 'bit', 'too', '“'], [], ['best']]"
guys we f@*ked,"[['stand-up', 'Last', 'weekly', 'top', 'downloaded', 'positive', 'feminist', 'such', 'national'], [], ['most'], ['Click', 'March', 'Guys', 'F', '@', 'Anti', 'Slut-Shaming', 'Podcast', 'Join', 'Corinne', 'Fisher', 'Krystyna', 'Hutchinson', 'Corinne', 'Fisher', 'Krystyna', 'Hutchinson', 'Sorry', 'Night', 'Guys', 'F', '@', 'Anti', 'Slut-Shaming', 'Podcast', 'December', 'Huffington', 'Post', 'Daily', 'Beast', 'Elle', 'Bust', 'Salon', 'Shape', 'Glamour', 'Sirius', 'Radio', 'Amber', 'Rose', 'Dan', 'Savage', 'Jim', 'Norton', 'Horatio', 'Sanz', 'Andy', 'Dick', 'Lizz', 'Winstead', 'Co-Creator', 'Daily', 'Show', 'Krystyna', 'Corinne', 'Denver'], [], ['Here', 'never', 'before', 'together', 'now'], [], []]"
hal sparks,"[['comedian', 'long', 'famed', 'quick', 'affable', 'hit', 'own', 'one-hour', 'special', 'best-selling', 'popular', 's', 'pop', 'such', 'numerous', 'other', 'busy', 'stand-up', 'accomplished', 'Special'], [], [], ['Disney', 'XD', 'LAB', 'RATS', 'Hal', 'Sparks', 'Second', 'City', 'Troupe', '“', 'Funniest', 'Teenager', 'Chicago', 'Chicago', 'Sun', 'Emmy-Award', 'Talk', 'Soup', 'E', 'Entertainment', 'Television', 'Showtime', '’', 'Queer', 'Folk', 'Extract', 'Spiderman', 'Dude', 'Where', '’', 'My', 'Car', 'Sparks', 'Showtime', 'Charmageddon', 'DVD', 'VH1', '’', 'Wednesday', 'Stephanie', 'Miller', 'Radio', 'Show', 'Hal', 'Joy', 'Behar', 'CNN', 'Your', 'Money', 'Tonight', 'Show', 'Larry', 'King', 'Live', 'Charlie', 'Rose', 'Good', 'Morning', 'America', 'View', 'Jimmy', 'Kimmel', 'MTV', 'Hal', 'Zero', 'Guest', 'Lisa', 'Landry', 'Saturday', 'Sunday'], ['Times', 'Sparks'], ['Currently', 'quickly', 'alike', 'recently', 'now', 'nationally', 'also', 'regularly', 'recently', ""n't""], [], []]"
hannibal buress,"[['irresistible', '”', 'comedic', 'cerebral', 'second', 'special', 'executive', 'video', '“', 'commercial', 'much-anticipated', 'stand-up', 'late-night', 'former', 'regular', 'Comedy', 'one-hour', 'multiple', 'Top'], [], [], ['Comedy', 'Camisado', 'Tour', 'Hannibal', 'Buress', '“', '”', 'New', 'York', 'Times', 'Buress', 'Comedy', 'Central', '’', 'Best', 'Club', 'Comic', '“', 'Live', 'Chicago', 'March', 'Buress', 'Comedy', 'Central', '’', 'Broad', 'City', 'Amy', 'Poehler', 'Neighbors', 'Seth', 'Rogen', 'Zac', 'Efron', 'NaNa', 'Chance', 'Rapper', 'Nike', '’', 'Kevin', 'Durant', '“', 'Grand', 'Theft', 'Auto', 'V', '”', 'Buress', 'Stone', 'Entertainment', 'Weekly', 'Esquire', 'Variety', 'Late', 'Show', 'David', 'Letterman', 'Late', 'Night', 'Jimmy', 'Fallon', 'Jimmy', 'Kimmel', 'Live', 'Late', 'Late', 'Craig', 'Ferguson', 'SNL', 'Rock', 'Buress', 'Adult', 'Swim', '’', 'Eric', 'Andre', 'Show', 'Fox', '’', 'Mindy', 'Project', '”', 'FX', '’', 'Totally', 'W.', 'Kamau', 'Bell', 'My', 'Name', 'Is', 'Hannibal', 'Central', 'Animal', 'Furnace'], [], ['widely', 'squarely', 'also', 'alongside', 'also', 's', 'consistently'], [], []]"
hari kondabolu,"[['comedian', 'exciting', 'political', 'stand-up', 'special', 's', 'legendary', 'own', 'half-hour', 'former', 'documentary', 'regular', 'public', 'such', 'notable', 'popular'], [], [], ['Hari', 'Kondabolu', 'Brooklyn', 'NY', 'NY', 'Times', '“', 'Netflix', 'Warn', 'Variety', '’', '“', 'Top', 'Watch.', '”', 'Hari', 'Mainstream', 'American', 'Comic', 'Kill', 'Rock', 'Stars', 'Late', 'Show', 'David', 'Letterman', 'Conan', 'Jimmy', 'Kimmel', 'Live', 'John', 'Oliver', '’', 'NY', 'Stand-Up', 'Show', '@', 'Comedy', 'Central', 'Chris', 'Rock', 'FX', 'TV', 'Totally', 'W.', 'Kamau', 'Bell', 'Problem', 'Apu', 'Hari', 'Wait', 'Wait', 'Don', '’', 'Tell', 'Me', 'Fresh', 'Air', 'Terry', 'Gross', 'WTF', 'Marc', 'Maron', 'Queens', 'Morning', 'Edition', 'All', 'Things', 'Considered', 'Prairie', 'Home', 'Companion', 'Wits', 'Studio', 'Bullseye', 'Hari', 'Politically', 'Reactive', 'W.', 'Kamau', 'Bell', 'Kondabolu', 'Podcast', 'Ashok', 'Earwolf'], ['Comics', 'Brothers'], ['also', 'currently'], [], ['most']]"
harland williams,"[['Comedian', 'actor', 'hilarious', 'outlandish', 'unforgettable', 'such', 'many', 'scene-stealing', 'unique', 'incredible', 'stand-up', 'weekly', 'rave', 'sharp', 'witty', 'unpredictable', 'original', 'true', 'crowd', 'improvisational', 'prime', 'available', 'rare', 'comic', 'stand-up', 'sketch', 'full', 'unexpected'], ['more'], ['best', 'best'], ['Harland', 'Williams', 'Harland', 'Dumb', 'Dumber', 'Mary', 'Half', 'Baked', 'Rocketman', 'Sorority', 'Boys', 'Down', 'Periscope', 'Harland', 'Late', 'Show', 'David', 'Letterman', 'Tonight', 'Show', 'Conan', 'HBO', 'Comedy', 'Central', 'Harland', 'Harland', 'Highway', 'Harland', 'NBC', '’', 'Thank', 'God', 'YouTube', 'Harland', 'Williams', 'Fresh', 'Harland', '’'], [], ['so', 'everywhere', 'everywhere', 'else', 'Here', 'masterfully', 'always', 'not'], [], []]"
